city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Tiaret,Tiaret,35.3667,1.3167,Algeria,DZ,DZA,Tiaret,admin,178915.0,1012785868,Africa
Al ‘Arīsh,Al `Arish,31.1249,33.8006,Egypt,EG,EGY,Shamāl Sīnā’,admin,178651.0,1818291145,Africa
Ar Raḩmānīyah,Ar Rahmaniyah,31.1048,30.6414,Egypt,EG,EGY,Al Buḩayrah,,176315.0,1818669069,Africa
Bejaïa,Bejaia,36.7511,5.0642,Algeria,DZ,DZA,Bejaïa,admin,176139.0,1012140298,Africa
Biu,Biu,10.6111,12.195,Nigeria,NG,NGA,Borno,minor,176072.0,1566675681,Africa
Shibirghān,Shibirghan,36.665,65.752,Afghanistan,AF,AFG,Jowzjān,admin,175599.0,1004805783,Africa
Ada,Ada,7.8956,4.7094,Nigeria,NG,NGA,Osun,,174152.0,1566487740,Africa
Bida,Bida,9.0804,6.01,Nigeria,NG,NGA,Niger,minor,173849.0,1566468363,Africa
Bir el Djir,Bir el Djir,35.7367,-0.5542,Algeria,DZ,DZA,Oran,,171883.0,1012283284,Africa
Kempton Park,Kempton Park,-26.1,28.2333,South Africa,ZA,ZAF,Gauteng,,171575.0,1710287070,Africa
Makurdi,Makurdi,7.7333,8.5,Nigeria,NG,NGA,Benue,admin,170925.0,1566873994,Africa
Nqutu,Nqutu,-28.232,30.566,South Africa,ZA,ZAF,KwaZulu-Natal,,170307.0,1710983407,Africa
Kroonstad,Kroonstad,-27.65,27.2333,South Africa,ZA,ZAF,Free State,,168762.0,1710508288,Africa
Bordj Bou Arreridj,Bordj Bou Arreridj,36.0667,4.7667,Algeria,DZ,DZA,Bordj Bou Arréridj,admin,168346.0,1012016677,Africa
Offa,Offa,8.147,4.72,Nigeria,NG,NGA,Kwara,minor,166112.0,1566192714,Africa
Béchar,Bechar,31.6167,-2.2167,Algeria,DZ,DZA,Béchar,admin,165627.0,1012371820,Africa
Skikda,Skikda,36.8667,6.9,Algeria,DZ,DZA,Skikda,admin,163318.0,1012619903,Africa
Zaranj,Zaranj,30.96,61.86,Afghanistan,AF,AFG,Nīmrōz,admin,160902.0,1004504986,Africa
Khōst,Khost,33.3331,69.9169,Afghanistan,AF,AFG,Khōst,admin,160214.0,1004919977,Africa
Ede,Ede,7.7389,4.4361,Nigeria,NG,NGA,Osun,minor,159866.0,1566336253,Africa
Benoni,Benoni,-26.1883,28.3206,South Africa,ZA,ZAF,Gauteng,,158777.0,1710880986,Africa
Djelfa,Djelfa,34.6667,3.25,Algeria,DZ,DZA,Djelfa,admin,158679.0,1012268984,Africa
Banhā,Banha,30.4628,31.1797,Egypt,EG,EGY,Al Qalyūbīyah,admin,157701.0,1818596265,Africa
George,George,-33.9667,22.45,South Africa,ZA,ZAF,Western Cape,,157394.0,1710164136,Africa
Mexico City,Mexico City,19.4333,-99.1333,Mexico,MX,MEX,Ciudad de México,primary,21804000.0,1484247881,North America
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,18832416.0,1840034016,North America
Los Angeles,Los Angeles,34.1141,-118.4068,United States,US,USA,California,,11885717.0,1840020491,North America
Chicago,Chicago,41.8375,-87.6866,United States,US,USA,Illinois,,8489066.0,1840000494,North America
Miami,Miami,25.784,-80.2101,United States,US,USA,Florida,,6113982.0,1840015149,North America
Houston,Houston,29.786,-95.3885,United States,US,USA,Texas,,6046392.0,1840020925,North America
Dallas,Dallas,32.7935,-96.7667,United States,US,USA,Texas,,5843632.0,1840019440,North America
Philadelphia,Philadelphia,40.0077,-75.1339,United States,US,USA,Pennsylvania,,5696588.0,1840000673,North America
Toronto,Toronto,43.7417,-79.3733,Canada,CA,CAN,Ontario,admin,5647656.0,1124279679,North America
Guadalajara,Guadalajara,20.6767,-103.3475,Mexico,MX,MEX,Jalisco,admin,5525000.0,1484950208,North America
Monterrey,Monterrey,25.6844,-100.3181,Mexico,MX,MEX,Nuevo León,admin,5324281.0,1484559591,North America
Atlanta,Atlanta,33.7628,-84.422,United States,US,USA,Georgia,admin,5211164.0,1840013660,North America
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5146120.0,1840006060,North America
Boston,Boston,42.3188,-71.0852,United States,US,USA,Massachusetts,admin,4355184.0,1840000455,North America
