city_name,city_ascii,lat,lng,country_name,country_code,iso3,admin_name,capital,population,id,continent
Recife,Recife,-8.0539,-34.8808,Brazil,BR,BRA,Pernambuco,admin,1488920.0,1076137337,South America
Porto Alegre,Porto Alegre,-30.0328,-51.23,Brazil,BR,BRA,Rio Grande do Sul,admin,1332845.0,1076658221,South America
Barranquilla,Barranquilla,10.9833,-74.8019,Colombia,CO,COL,Atlántico,admin,1326588.0,1170179113,South America
Guarulhos,Guarulhos,-23.4667,-46.5333,Brazil,BR,BRA,São Paulo,minor,1324781.0,1076730420,South America
Belém,Belem,-1.4558,-48.5039,Brazil,BR,BRA,Pará,admin,1280614.0,1076646823,South America
Rosario,Rosario,-32.9575,-60.6394,Argentina,AR,ARG,Santa Fe,minor,1276000.0,1032770677,South America
Campinas,Campinas,-22.9009,-47.0573,Brazil,BR,BRA,São Paulo,minor,1213792.0,1076145766,South America
Goiânia,Goiania,-16.6806,-49.2564,Brazil,BR,BRA,Goiás,admin,1093007.0,1076034054,South America
São Luís,Sao Luis,-2.53,-44.3028,Brazil,BR,BRA,Maranhão,admin,1037775.0,1076819308,South America
Maceió,Maceio,-9.6658,-35.735,Brazil,BR,BRA,Alagoas,admin,957916.0,1076440479,South America
Cartagena,Cartagena,10.4,-75.5,Colombia,CO,COL,Bolívar,admin,914552.0,1170886102,South America
